Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Aluizio Haendchen Filho,Homem,0.0016,3
Anita Fernandes,Mulher,0.0016,3
Jonathan Nau,Homem,0.0016,3
Rudimar Luís Scaranto Dazzi,Homem,0.0016,3
Aluizio Rocha,Homem,0.0022,4
Arthur Souza,Homem,0.0022,4
Dannylo Johnathan,Homem,0.0022,4
Mário Melo,Homem,0.0022,4
Rafael Queiroz,Homem,0.0033,6
Amanda Lisboa Pereira,Mulher,0.0005,1
Luis F. Pozas,Homem,0.0005,1
Amanda Maria D. de Oliveira,Mulher,0.0011,2
Flávia Roldan Viana,Mulher,0.0011,2
Gabriel Vieira Barreto,Homem,0.0011,2
Amanda Martins,Mulher,0.0016,3
Ayla Rebouças,Mulher,0.0022,4
Joana Silva,Mulher,0.0016,3
Joyce Santos,Mulher,0.0016,3
Aíla Maciel,Mulher,0.0038,8
Ketrin Diovana Alves Rodrigues Vargas,Mulher,0.0033,6
Marina Braun Otokovieski,Mulher,0.0033,6
Patrícia Araújo de Oliveira,Mulher,0.0038,8
Raniely dos Anjos,Mulher,0.0033,6
Amanda Rodrigues,Mulher,0.0011,2
Juliana Saraiva,Mulher,0.0022,4
Vanessa Dantas,Mulher,0.0049,9
Amanda Saccol,Mulher,0.0022,4
Carla Castanho,Mulher,0.0022,4
Eduardo Silva,Homem,0.0022,4
Eduardo Spies,Homem,0.0022,4
Victor Alves,Homem,0.0022,4
Amanda Vilas Boas Oliveira,Mulher,0.0033,6
Felipe de Melo Santos,Homem,0.0033,6
Guilherme Gonçalves da Silva,Homem,0.0033,6
Lucas Almeida Silva,Homem,0.0033,6
Queilane da Conceição Rocha,Mulher,0.0033,6
Yasmin Solrac Ribeiro dos Santos,Mulher,0.0033,6
Érica Pereira Machado,Mulher,0.0033,6
Amanda de Oliveira Casagrande,Mulher,0.0016,3
Caroline Reis Vieira Santos Rauta,Mulher,0.0016,3
Daniela Sbizera Justo,Mulher,0.0016,3
Rayana Prata Neves,Mulher,0.0016,3
Amaury Antônio de Castro Junior,Homem,0.0011,2
Anderson Corrêa de Lima,Homem,0.0011,2
Luciana Montera Cheung,Mulher,0.0033,6
Ana Alencar,Mulher,0.0022,6
Anna Marques,Mulher,0.0033,8
Karina Branco,Mulher,0.0022,4
Maria Mendes,Mulher,0.0022,4
Valéria Pinheiro,Mulher,0.0022,6
Ana Bacelo,Mulher,0.0011,2
Cristina Nunes,Mulher,0.0011,2
Milene Silveira,Mulher,0.0011,2
Ana Barbosa,Mulher,0.0016,3
Lana Gomes,Mulher,0.0016,3
Ana Carla Kruger Leite,Mulher,0.0022,4
Cibelle Amorim Martins,Mulher,0.0022,4
Clara Marques Bodart,Mulher,0.0044,8
Márcia Gonçalves Oliveira,Mulher,0.0027,5
Soraya Roberta dos Santos Medeiros,Mulher,0.0022,4
Ana Carolina Nesso Guedes,Mulher,0.0044,8
Eliana Almeida,Mulher,0.0055,15
Ester de Lima Pontes Andrade,Mulher,0.0055,15
Kamila Almeida Benevides,Mulher,0.0055,15
Kelly Bianca Araujo Silva,Mulher,0.0055,15
Lilian Giselly Pereira Santos,Mulher,0.0044,8
Luana Júlia Nunes Ferreira,Mulher,0.0055,15
Natália de Assis Sousa,Mulher,0.0055,15
Rebeca de Jesus Brandão,Mulher,0.0082,15
Ana Caroline Fernandes Spengler,Mulher,0.0005,1
Paulo Sérgio Lopes de Souza,Homem,0.0011,2
Ana Cecília M. de Melo,Mulher,0.0005,1
Glaucia M. M. Campos,Mulher,0.0005,1
Ana Flávia C. Moura,Mulher,0.0022,4
Ana Luiza C. Lorens,Mulher,0.0022,4
Bárbara D. Duarte,Mulher,0.0022,4
Juliana Espíndola Botelho,Mulher,0.0022,4
Mirella M. Moro,Mulher,0.0082,15
Ana Inocêncio,Mulher,0.0016,3
Caique Souza,Homem,0.0016,3
Esdras Bispo Jr.,Homem,0.0038,7
Lucas Costa,Homem,0.0016,3
Ana Iza Alencar,Mulher,0.0022,4
Anna Beatriz Marques,Mulher,0.0087,21
Karina Castelo Branco,Mulher,0.0066,13
Maria Victória Fiori,Mulher,0.0022,4
Valéria Maria Pinheiro,Mulher,0.0022,4
Ana Julia Alves,Mulher,0.0005,1
Wesley Folly Volotão de Souza,Homem,0.0005,1
Ana Karolina Maia,Mulher,0.0038,7
Cláudia Linhares Sales,Mulher,0.0033,6
Cláudio Carvalho,Homem,0.0027,5
Jonas Costa,Homem,0.0027,5
Leonardo C. de Abreu,Homem,0.0011,2
Manoel Campêlo,Homem,0.0016,3
Nicolas Nisse,Homem,0.0027,5
Raul Lopes,Homem,0.0027,5
Ana L. C. Bazzan,Mulher,0.0011,2
Bruno C. da Silva,Homem,0.0011,2
Gabriel O. Ramos,Homem,0.0011,2
Ana Lara S. Oliveira,Mulher,0.0033,6
Jacilane de H. Rabelo,Mulher,0.0055,13
Lauana M. C. de Oliveira,Mulher,0.0033,6
Maria Victoria S. Fiori,Mulher,0.0055,13
Marina da S. Rocha,Mulher,0.0055,13
Ana Leite,Mulher,0.0022,4
Gabriel Nascimento,Homem,0.0027,6
Márcia Oliveira,Mulher,0.0044,9
Mônica Silva,Mulher,0.0022,4
Ana Lucia Machado dos Santos,Mulher,0.0022,4
David B. F. Oliveira,Homem,0.0022,4
Elaine H. T. Oliveira,Mulher,0.0022,4
Filipe Dwan Pereira,Homem,0.0022,4
Leandro S. G. Carvalho,Homem,0.0022,4
Ana Luisa D. Almeida,Mulher,0.0038,7
Gabriel C. Carrara,Homem,0.0038,7
Isabele B. Prates,Mulher,0.0038,7
João Gabriel R. Silva,Homem,0.006,11
Letícia C. T. Nascimento,Mulher,0.0038,7
Pedro H. O. Souza,Homem,0.0038,7
Renato C. Cani,Homem,0.0038,7
Thiago R. Almeida,Homem,0.0038,7
Ana Luísa S. Milson,Mulher,0.0049,12
Daniel H. Dalip,Homem,0.0044,8
Indra Matsiendra C. D. Ribeiro,Mulher,0.0044,8
Izabela A. Andrade,Mulher,0.0044,8
Julia M. M. Gonçalves,Mulher,0.0044,8
Luísa M. Laboissiere,Mulher,0.0049,12
Marcella D. Ferreira,Mulher,0.0049,12
Michele A. Brandão,Mulher,0.0049,12
Rodrigo Cardoso,Homem,0.0022,4
Ana Moura,Mulher,0.0011,2
Barbara Duarte,Mulher,0.0011,2
Mirella Moro,Mulher,0.0011,2
Ana P. G. Lopes,Mulher,0.0011,2
Luis F. A. Román,Homem,0.0011,2
Paulo R. L. Gondim,Homem,0.0011,2
Ana Paula Cavadas Rodrigues,Mulher,0.0022,4
Carla Verônica Machado Marques,Mulher,0.0022,4
Carlo Emmanoel Tolla de Oliveira,Homem,0.0022,4
Claudia Lage Rebello da Motta,Mulher,0.0022,4
Raquel Moreira Machado Fernandes,Mulher,0.0022,4
Ana Paula Lüdtke Ferreira,Mulher,0.0005,1
Márcia Maria Lucchese,Mulher,0.0005,1
Ana Paula Marques Barbosa,Mulher,0.0011,2
Diego Jonathan Hoss,Homem,0.0011,2
Gil Eduardo Andrade,Homem,0.0011,2
Ana Paula Vieira Guimarães,Mulher,0.0033,6
André Pinto Moreira,Homem,0.0033,6
Ayslan Trevizan Possebom,Homem,0.0049,12
Carla Santos de Oliveira,Mulher,0.0033,6
Daniela Eloise Flôr,Mulher,0.0049,12
Eduardo Henrique Molina da Cruz,Homem,0.0049,12
Ana Rita Mazzini,Mulher,0.0038,7
Andre Du Bois,Homem,0.0038,7
Clause Piana,Mulher,0.0038,7
Johnny Marques,Homem,0.0049,9
Luciana Foss,Mulher,0.0049,9
Placida Oliveira,Mulher,0.0038,7
Simone Cavalheiro,Mulher,0.0038,7
Ana Santos,Mulher,0.0022,4
Elaine Oliveira,Mulher,0.0016,3
Fabíola G. Nakamura,Mulher,0.0027,5
Leandro Carvalho,Homem,0.0027,5
Ricardo Souza,Homem,0.0005,1
Davi de Andrade,Homem,0.0005,1
Kenny Domingues,Homem,0.0011,2
Yuri Silva de Oliveira,Homem,0.0011,2
Ana Solórzano,Mulher,0.0011,2
