Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Germano B. dos Santos,Homem,Raissa P. P. M. Souza,Mulher,1
Germano B. dos Santos,Homem,Thais R. M. B. Silva,Mulher,1
Gerson Cavalheiro,Homem,João Lopes,Homem,1
Gilmar Moraes,Homem,Helder Oliveira,Homem,1
Gilson Helfer,Homem,Jorge Barbosa,Homem,1
Gilson Helfer,Homem,Reginaldo Santos,Homem,1
Givanildo Júnior,Homem,Osvaldo A. Rosso,Homem,1
Glácio S. Araújo,Homem,Joel J. P. C. Rodrigues,Homem,1
Glácio S. Araújo,Homem,Mário W. L. Moreira,Homem,1
Glácio S. Araújo,Homem,Rhayane S. Monteiro,Mulher,1
Glácio S. Araújo,Homem,Victor Hugo C. de Albuquerque,Homem,1
Guilherme Silva,Homem,Raquel Mini,Mulher,1
Gustavo Claudio Karl Couto,Homem,Ronaldo Moreira Salles,Homem,1
Halysson Júnior,Homem,Joel Rodrigues,Homem,1
Halysson Júnior,Homem,José Sobral,Homem,1
Halysson Júnior,Homem,Ricardo Rabêlo,Homem,1
Heberth Reinstein,Homem,Mateus Delatorre,Homem,1
Heitor S. Ramos,Homem,Osvaldo A. Rosso,Homem,1
Heitor S. Ramos,Homem,Raquel S. Cabral,Mulher,1
Helder Oliveira,Homem,Hugo Santos,Homem,1
Helder Oliveira,Homem,Jean Moraes,Homem,1
Helder Oliveira,Homem,Leonardo Marques,Homem,1
Helder Oliveira,Homem,Nagib Matni,Homem,1
Helder Oliveira,Homem,Paulo Eugênio,Homem,1
Henrique S. Santana,Homem,João Marcos A. M. Ramos,Homem,1
Henrique S. Santana,Homem,Thais R. M. B. Silva,Mulher,1
Henrique S. Santana,Homem,Vinícius G. J. Almeida,Homem,1
Hugo Kuribayashi,Homem,Isaac Barros,Homem,1
Hugo Kuribayashi,Homem,João Carmona,Homem,1
Hugo Kuribayashi,Homem,Warley Junior,Homem,1
Hugo Kuribayashi,Homem,Wendel Serra,Homem,1
Hugo Santos,Homem,Leonardo Marques,Homem,1
Hugo Santos,Homem,Paulo Eugênio,Homem,1
Iago Medeiros,Homem,Maria Tostes,Mulher,1
Iago Medeiros,Homem,Stefany Pinheiro,Mulher,1
